log_L,log_Teff,mass_flame
0.93933606,3.7835426,1.5246959
0.3979145,3.8185828,1.302147
-0.80364543,3.6352654,0.68353254
-0.3082715,3.7000256,0.8035065
-0.8600373,3.6059833,0.6454493
0.54661494,3.7984033,1.2754418
0.81539434,3.7870789,1.4204932
1.2679163,3.7793653,1.8282527
0.256921,3.6914034,0.9489745
-0.44565552,3.7340615,0.8966933
-0.75715834,3.6497827,0.705907
3.1156092,3.7998629,5.6726193
2.2862713,3.7081208,3.4941812
0.023203362,3.7040772,0.9487986
0.5407639,3.7703412,1.1357594
0.41326445,3.790545,1.1832743
0.4096105,3.8001506,1.2074146
0.9011076,3.704393,1.460825
1.4105972,3.7998552,2.1968782
1.100187,3.7959774,1.6979686
0.44590178,3.8116558,1.2632692
-0.49209183,3.66711,0.75233454
-0.4843339,3.7330713,0.8963574
0.46195388,3.8058395,1.2755393
1.0020357,3.7341022,1.514618
0.047511473,3.7907836,1.1206828
2.7556193,3.7671921,4.67994
-0.9295135,3.6602507,0.72585833
0.4368598,3.8131442,1.2930268
0.020667056,3.7597098,0.98168105
1.4502413,3.7591414,2.2370186
0.45670724,3.8056784,1.2526712
0.81241643,3.8023665,1.461316
0.83895046,3.7941232,1.4742011
0.43937758,3.798597,1.1899129
-0.6802297,3.6381526,0.7015518
0.9388264,3.783193,1.5162302
2.217708,3.7852159,3.262797
0.2532352,3.8123362,1.2181107
0.8169282,3.8281772,1.4868958
0.42405322,3.8060799,1.2450895
0.531592,3.7864513,1.219913
0.3155341,3.7620883,1.0167373
-0.47306964,3.698604,0.8027144
1.327631,3.7773435,1.9186423
-0.7762175,3.642724,0.7001806
0.2643115,3.7315536,0.95986426
0.24140856,3.7516131,0.95968926
0.39682412,3.8105597,1.2668866
1.2987064,3.9545922,2.0287766
0.90911716,3.7732477,1.5023507
0.076532446,3.8097234,1.1356714
1.3447148,3.785778,1.9678636
0.11196765,3.8025784,1.2089565
0.44163984,3.809569,1.2654881
0.65992856,3.7691493,1.2334347
0.86498195,3.7810812,1.4526334
-0.6007621,3.6718643,0.7550401
1.4881791,3.7970932,2.074261
0.21428798,3.806997,1.2149961
0.6379328,3.7416015,1.2617731
-0.05477492,3.7718644,1.0252823
-0.029322378,3.7667625,0.9781883
-0.44070962,3.731838,0.90868646
0.6218948,3.7818968,1.2517244
0.7742319,3.8030303,1.431762
0.5432725,3.7902641,1.2687594
0.48626655,3.806821,1.253861
0.61932236,3.7828984,1.2640557
0.6939338,3.7874062,1.3676716
1.9438044,3.9342732,2.6968448
-0.0546216,3.7744982,1.0184988
-0.65622765,3.6560488,0.73044926
2.6404853,3.7705646,4.3787413
1.3124851,3.7855582,1.8792682
0.7343853,3.7790117,1.3410143
0.8712069,3.7966895,1.5044155
0.86087584,3.7892003,1.4742851
0.76272607,3.7726917,1.3599725
0.2565103,3.787579,1.0944946
0.07104832,3.7935371,1.1524353
0.26087272,3.8109329,1.2412363
1.0507889,3.7896667,1.6273158
1.2394303,3.7665992,1.8193004
1.5760592,3.7284408,2.3445811
-0.27496114,3.7665582,0.9663444
0.4497812,3.759406,1.0771486
2.4403365,4.176301,4.1148667
-0.692465,3.6560955,0.72891605
0.39168355,3.709274,1.019856
1.1343428,3.7824125,1.6756583
-0.13384826,3.7898111,1.0476485
0.31602904,3.8139546,1.270545
0.7278342,3.7706053,1.3006403
2.1995878,3.7852788,3.269489
0.6725701,3.7993152,1.3346006
0.24873555,3.8067038,1.1812767
1.109302,3.7853193,1.6924704
1.1593894,3.790652,1.7058632
0.1313961,3.7646968,1.0058924
1.3248948,3.7709494,1.8208725
1.5577898,3.7459705,2.3423593
0.6701705,3.8075867,1.356655
2.345611,3.798181,3.5676203
0.6991556,3.7717,1.2896158
1.8349671,4.0916467,2.9893377
1.6920794,3.8882446,2.4657817
1.167469,3.7771223,1.724785
0.45876962,3.7835317,1.151932
0.28266463,3.7669773,1.1269484
0.9200269,3.7762318,1.4827983
2.5531647,4.178845,4.2882833
0.17411052,3.8105633,1.1027353
0.14516537,3.7920346,1.124439
0.70063865,3.7770588,1.3284006
0.46982062,3.8101482,1.2536823
0.6390456,3.789244,1.3299373
0.6673207,3.6938467,1.1499168
1.2734009,3.7874327,1.8199016
2.6330914,3.7721922,4.277276
2.8463178,3.7662501,4.9793825
3.1735518,4.256651,5.985008
2.9995096,4.270757,5.664427
1.1533346,3.7863445,1.7038
1.5669142,3.8775573,2.454481
2.814375,4.20164,4.864011
1.8409399,3.8022485,2.501609
1.3743907,3.9027224,2.125216
0.66027045,3.786289,1.2606769
1.5982933,3.9861462,2.3576903
0.028145509,3.749031,0.91001886
1.2727956,3.7872891,1.8110113
1.4727821,3.8032286,2.0680845
0.339511,3.79214,1.1683828
0.7048365,3.7711318,1.2838738
0.8691636,3.775259,1.4545628
1.2784094,3.7650707,1.8479924
0.5955682,3.775609,1.1891626
2.7760074,3.778585,4.2730002
2.1992214,3.7203994,3.3907137
0.8922043,3.7809513,1.4698197
0.10911374,3.7887063,1.133803
0.8991323,3.7850666,1.4902034
1.4286174,3.8033104,1.9725096
1.0320808,3.7819395,1.5849253
0.7455017,3.7953115,1.3988734
0.67324597,3.80093,1.3592017
1.932537,4.020101,2.792526
0.5973715,3.7971015,1.3028297
1.3560568,3.7880633,1.8881067
0.35608113,3.81572,1.2809491
-0.52442276,3.7303607,0.8943324
0.1432563,3.8022692,1.16223
1.7858837,4.0384064,2.682441
0.5645962,3.7834563,1.2023658
0.92766833,3.7809377,1.4988549
0.4707585,3.8046412,1.2430503
0.47863606,3.802031,1.2415061
0.664427,3.786242,1.3417826
1.9408276,3.7252572,2.9965012
1.7423126,4.0432763,2.6531482
-0.27957863,3.6534894,0.80580646
0.22426857,3.7746763,0.9862493
0.44048712,3.7153165,1.0684588
-0.5405907,3.6943722,0.820194
1.2113799,3.7801058,1.7854983
1.7013983,3.9657867,2.4210353
-0.2962182,3.7810183,0.95631397
0.5776275,3.849916,1.387414
0.6035264,3.7891545,1.2952976
0.6689249,3.7850657,1.334875
1.492246,3.781068,2.1338096
0.81120354,3.8028824,1.4577048
0.6850433,3.780684,1.2530614
1.2341431,3.7859697,1.8112545
1.2532227,3.7813685,1.7495236
0.32483497,3.7978303,1.1987493
-0.15117687,3.7121606,0.83963466
0.39841616,3.8117507,1.2664921
-0.37292254,3.704402,0.80760086
-0.664673,3.6553478,0.71965617
-0.39087617,3.74082,0.91823167
2.1076481,3.7849934,3.1686933
0.80094695,3.791875,1.4487016
1.8002123,3.7047844,2.1512847
0.73704886,3.7852392,1.368799
-0.9546729,3.6285672,0.6711398
0.34700185,3.8077674,1.2632211
-0.2544233,3.712936,0.8430391
0.27073717,3.8016582,1.2077861
-0.41372928,3.6793237,0.79001516
0.98565984,3.7826326,1.5626215
1.1646569,3.806381,1.7606201
-0.5285455,3.6567235,0.74721843
-0.502377,3.7225966,0.86987364
1.9294865,3.755762,2.147064
0.1339254,3.7622027,0.9878931
0.52377284,3.8160665,1.2936001
1.7528462,3.641188,1.335107
0.81681913,3.7732894,1.3926436
-0.72793764,3.6444116,0.70759267
0.736981,3.8039956,1.4062979
0.7157727,3.7926404,1.3861363
0.37552488,3.811183,1.2791005
-0.12995453,3.7133024,0.905723
0.3042493,3.8133607,1.2473518
0.6866575,3.7696931,1.2890917
0.79187703,3.802086,1.4471692
-0.006018503,3.779786,1.0423688
-0.44336617,3.729667,0.88211143
0.3868934,3.8134851,1.2815998
0.2763579,3.8130803,1.2482469
0.78344,3.8043752,1.4421095
0.76075274,3.792242,1.4031819
0.5994125,3.796727,1.3081262
0.15914127,3.812028,1.1663312
0.8882511,3.7891474,1.5119649
0.40019783,3.8088207,1.2649639
-0.592219,3.648029,0.7084809
0.3020903,3.8116403,1.2486818
0.13169535,3.7119849,0.94675887
0.5982057,3.7598968,1.2130855
0.27003896,3.7162366,0.946018
-0.54709643,3.7220883,0.87747616
0.35344815,3.7780895,1.1288753
0.3908665,3.7873344,1.1606208
-0.56246984,3.720584,0.86837876
0.78741485,3.702029,1.3616911
1.2057835,3.8133824,1.8037903
0.9972749,3.7859576,1.6117594
-0.8629303,3.6230173,0.6717194
0.34816346,3.7978313,1.1999626
0.33562458,3.8135371,1.2578003
0.270687,3.8035226,1.2206616
0.901982,3.7996159,1.514188
-0.3604205,3.6952796,0.82630175
0.5417514,3.801214,1.2723513
1.0359199,3.7838738,1.5784763
0.2104196,3.772946,1.0526011
1.0686218,3.7892857,1.6514703
-0.23571876,3.7129064,0.8353425
1.2796997,3.746036,1.9364392
0.37552622,3.7255335,1.0173197
2.1389847,3.7852654,3.1670022
0.4679094,3.8235407,1.338511
0.98682183,3.7599828,1.5730144
-0.6894934,3.6559262,0.72140276
0.83491296,3.7774527,1.4132811
0.898266,3.7806225,1.474107
1.5261873,3.7633007,2.0954065
-0.86687887,3.6317022,0.6766694
0.45089316,3.7498915,1.071952
0.1961079,3.7849102,1.1286464
0.3579349,3.7738416,1.0785306
0.30188364,3.812972,1.2524672
0.57934636,3.7944021,1.2919804
-0.29706004,3.7272112,0.8543177
1.7679234,3.776033,2.556597
-0.5355137,3.7305415,0.8917649
0.6251389,3.7945182,1.3219985
2.647232,4.225981,4.769212
0.5234053,3.802149,1.26081
1.7223216,3.7998004,2.472173
0.80397964,3.7939534,1.4525373
1.1562057,3.7924266,1.740553
0.45141152,3.8019333,1.2218312
0.25256225,3.7352343,0.9663837
0.43254694,3.7817352,1.1744655
1.356877,3.7805793,1.9697839
0.7492951,3.7717686,1.359984
0.63973534,3.688577,1.0601752
2.256933,4.135114,3.595149
1.2081858,3.795109,1.7720975
0.13747242,3.796593,1.1376587
1.8507618,3.9984846,2.6366029
1.3274359,3.7852006,1.8258896
0.86040926,3.7817543,1.4343253
0.7629592,3.7753212,1.4209253
0.5878609,3.7648351,1.2000406
0.27401653,3.8135104,1.2641331
0.6126491,3.807268,1.3194717
1.3748916,3.7836502,1.9180391
-0.4037886,3.6966498,0.79943043
-0.15652134,3.7251291,0.8510566
1.3215996,3.9869618,2.153779
-0.40079203,3.7520337,0.8912555
0.3864101,3.8152122,1.2858235
-0.5691611,3.7197237,0.87833714
0.67030126,3.767518,1.276339
0.419459,3.790287,1.1922146
0.05865448,3.780415,1.0417138
-0.16843817,3.7127433,0.83808625
-0.39381903,3.7528503,0.9292061
0.7469224,3.798184,1.4097487
0.31527904,3.801735,1.2071677
0.5441845,3.7988873,1.2712567
1.6660839,3.6924973,2.8019567
0.5613271,3.7831383,1.2384557
0.33696964,3.8072705,1.2391943
0.3572814,3.8093514,1.2666382
0.9323806,3.7816474,1.5121608
1.1365708,3.787582,1.7232088
0.38349018,3.8151348,1.2869656
0.6387008,3.7861686,1.3284389
-0.4701553,3.6988897,0.8205358
0.6859235,3.8001275,1.3665421
1.6807247,3.742623,2.491375
0.67687136,3.6891913,1.0703589
-0.39655367,3.684101,0.78274745
-0.95025015,3.5978267,0.5990524
1.7077931,4.0337553,2.5882328
0.46531218,3.809844,1.2829515
-0.30966488,3.7580304,0.93884826
0.60085243,3.7977529,1.3038409
0.6261753,3.816319,1.344328
1.0635034,3.7290332,1.6161015
0.6830534,3.7601743,1.2813314
-0.571473,3.650634,0.70921546
-0.6341011,3.6403198,0.70220846
0.48568308,3.8093092,1.2646477
-0.7363378,3.663391,0.73239774
0.26355663,3.804039,1.2225019
-0.021389391,3.7057307,0.86679524
0.56607825,3.803557,1.2918404
0.51582533,3.800269,1.2610363
-0.7497044,3.6535974,0.7117638
-0.2922985,3.7112503,0.8482311
0.3965616,3.8021708,1.209274
0.42684737,3.732918,1.0433073
0.31576905,3.7713532,1.0622824
-0.293858,3.742456,0.9422332
1.384915,3.7866843,2.0199523
1.7079085,3.8055763,2.4777665
1.5277818,3.6826897,2.6026192
1.0443485,3.7816582,1.6117359
-0.051229846,3.710497,0.8641411
-1.0079883,3.5948715,0.60012645
0.15906517,3.7984214,1.1957873
-1.04205,3.6244755,0.65485114
-0.7246019,3.6736693,0.76126844
0.506527,3.7513278,1.1103935
2.588193,3.7868364,4.0760674
2.7347455,4.2177963,4.9820647
-0.41904312,3.7399397,0.9162229
0.7438984,3.8154366,1.4189863
0.517149,3.792865,1.2569156
-0.70238596,3.6693506,0.76488316
-0.29641643,3.751858,0.9495934
0.8920741,3.7577229,1.505697
-0.3501732,3.6944983,0.82733226
0.5310098,3.737823,1.1391203
1.1835395,3.7871876,1.7117087
0.62687457,3.780454,1.2781013
0.43507344,3.7486634,1.0515213
0.40545318,3.8122487,1.2863958
0.09913695,3.7787771,1.1022309
-0.17704068,3.7077932,0.8312302
0.104111955,3.7677689,1.0144814
1.401421,3.7935622,1.9818683
2.3331003,3.7852845,3.5743465
1.1043415,3.824274,1.7133487
0.46627963,3.7123113,1.0800095
1.4927993,3.9822044,2.250898
0.2974001,3.7622595,1.0081353
-0.15526922,3.683415,0.82366955
0.73034865,3.7789607,1.3145362
0.45818746,3.8108594,1.2805872
0.38610446,3.7291427,1.0134171
0.27915588,3.7998643,1.1974578
0.06774959,3.7402556,0.8920883
-0.6650309,3.669167,0.73557466
