                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250312"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      675                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842024989E-001                  3.7159838011346535E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842024989E-001                  3.7159838011346535E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001406918850E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295001406918850E+000                 -5.6295001406999834E+000                 -1.6358916587972828E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6865765246450999E+000                  7.4288401815267990E-001                  5.2094212065063694E-001                  3.6003033686577841E+000                  0.0000000000000000E+000                  1.4286400646839503E+001                 -4.1143271049842167E-001                  6.5719039866606552E+000                  6.2123551948846201E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861427E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                       5                                      682                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7341737315257785E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7341737315257785E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001405529099E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295001405529099E+000                 -5.6295001405610074E+000                 -1.6358916587536296E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866908645829786E+000                  7.4334137494056685E-001                  5.2094211916882360E-001                  3.6003033716214108E+000                  0.0000000000000000E+000                  1.4286400646896785E+001                 -4.1143271045385610E-001                  6.5719039866733882E+000                  6.2123551948845623E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      10                                      682                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001401404487E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.6295001401404487E+000                 -5.6295001401485463E+000                 -1.6358916586234603E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866842047780080E+000                  7.4331466786642841E-001                  5.2094208524169561E-001                  3.6003034394756663E+000                  0.0000000000000000E+000                  1.4286400647064491E+001                 -4.1143271032392470E-001                  6.5719039867111979E+000                  6.2123551948843803E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      15                                      682                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001391042350E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295001391042359E+000                 -5.6295001391123334E+000                 -1.6358916582959708E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866824727169090E+000                  7.4330770954545811E-001                  5.2094207020340844E-001                  3.6003034695522409E+000                  0.0000000000000000E+000                  1.4286400647484859E+001                 -4.1143270999877612E-001                  6.5719039868065003E+000                  6.2123551948839273E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      20                                      682                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001365153388E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.6295001365153388E+000                 -5.6295001365234372E+000                 -1.6358916574774383E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866820085097856E+000                  7.4330583917994852E-001                  5.2094206343490046E-001                  3.6003034830892569E+000                  0.0000000000000000E+000                  1.4286400648534160E+001                 -4.1143270918773750E-001                  6.5719039870449576E+000                  6.2123551948827893E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      25                                      682                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.8469409045437997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001300613929E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295001300613929E+000                 -5.6295001300694905E+000                 -1.6358916554372048E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866819033560163E+000                  7.4330541203863720E-001                  5.2094206017178302E-001                  3.6003034896154920E+000                  0.0000000000000000E+000                  1.4286400651148970E+001                 -4.1143270716734748E-001                  6.5719039876398453E+000                  6.2123551948799505E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      30                                      682                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7815502421675536E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7815502421675536E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295001139911474E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295001139911474E+000                 -5.6295001139992449E+000                 -1.6358916503589104E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866818831223411E+000                  7.4330532576714581E-001                  5.2094205750338707E-001                  3.6003034949522839E+000                  0.0000000000000000E+000                  1.4286400657659442E+001                 -4.1143270213760830E-001                  6.5719039891217230E+000                  6.2123551948728750E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      35                                      682                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7303670599509758E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7303670599509758E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6295000739925056E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6295000739925056E+000                 -5.6295000740006040E+000                 -1.6358916377227562E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866818791614295E+000                  7.4330530084705526E-001                  5.2094205296516483E-001                  3.6003035040287283E+000                  0.0000000000000000E+000                  1.4286400673864442E+001                 -4.1143268961909518E-001                  6.5719039928110634E+000                  6.2123551948552558E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
                                      40                                      682                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.6000000000000001E+000                  3.3502625893016592E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7191487856780107E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999842025011E-001                  3.7191487856780107E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6294999744512051E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6294999744512042E+000                 -5.6294999744593026E+000                 -1.6358916062795966E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6866818784450648E+000                  7.4330527723848749E-001                  5.2094204259361154E-001                  3.6003035247718347E+000                  0.0000000000000000E+000                  1.4286400714194446E+001                 -4.1143265846497817E-001                  6.5719040019940191E+000                  6.2123551948113909E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  3.4468833607861423E-003                  9.3805276451495393E-003                  1.1200000000000006E+000                  4.4795232378359828E-001                                        0                                        2 
