                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250312"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      624                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.7171516289773467E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.7171516289773467E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086594408947942E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086594408947942E+000                 -8.0086594408947942E+000                 -2.3571795365291919E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6928894397726246E+000                  1.7137733290601889E+000                  9.9376094584934260E-001                  2.9276669903241102E+000                  0.0000000000000000E+000                  1.2954156719381581E+001                 -1.5476807008287925E+000                  6.3725246252977232E+000                  6.2128584276537879E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                       5                                      619                  7.4416000000000014E-005                 -4.6832750158095005E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5417256933772014E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5417256933772014E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086594396043917E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086594396043917E+000                 -8.0086594396043917E+000                 -2.3571795361036330E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929080030387951E+000                  1.7138476010259667E+000                  9.9376095529989072E-001                  2.9276669714230139E+000                  0.0000000000000000E+000                  1.2954156719844352E+001                 -1.5476807004782198E+000                  6.3725246254100050E+000                  6.2128584276531096E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      10                                      619                  2.5958682111999997E-004                 -4.2873687855713758E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5478392330818420E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5478392330818420E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086594358815635E+000                 -9.8999999999999986E+001                 -2.3781369657454512E+001                 -8.0086594358815635E+000                 -8.0086594358815653E+000                 -2.3571795348753394E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929070928604868E+000                  1.7138439320658081E+000                  9.9376094117642777E-001                  2.9276669996699400E+000                  0.0000000000000000E+000                  1.2954156721178787E+001                 -1.5476806994679633E+000                  6.3725246257343926E+000                  6.2128584276511511E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      15                                      619                  7.2035107872931814E-004                 -3.8914625553332525E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5612549859489885E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5612549859489885E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086594266066395E+000                 -9.8999999999999986E+001                 -2.3781369657454512E+001                 -8.0086594266066395E+000                 -8.0086594266066413E+000                 -2.3571795318146656E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929060167116137E+000                  1.7138395986338129E+000                  9.9376092675817684E-001                  2.9276670285064417E+000                  0.0000000000000000E+000                  1.2954156724502409E+001                 -1.5476806969522525E+000                  6.3725246265428002E+000                  6.2128584276462662E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      20                                      619                  1.8668799962237366E-003                 -3.4955563250951283E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5868398008693566E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.5868398008693566E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086594035153524E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086594035153524E+000                 -8.0086594035153524E+000                 -2.3571795241937306E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929055800080852E+000                  1.7138378290144551E+000                  9.9376091535555389E-001                  2.9276670513116878E+000                  0.0000000000000000E+000                  1.2954156732775880E+001                 -1.5476806906904070E+000                  6.3725246285556629E+000                  6.2128584276340992E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      25                                      619                  4.7198108322034473E-003                 -3.0996500948570040E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6256604757067417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6256604757067417E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086593460427586E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086593460427586E+000                 -8.0086593460427586E+000                 -2.3571795052232364E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929054379569708E+000                  1.7138372399081145E+000                  9.9376090490461255E-001                  2.9276670722135703E+000                  0.0000000000000000E+000                  1.2954156753366503E+001                 -1.5476806751068108E+000                  6.3725246335657255E+000                  6.2128584276038157E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      30                                      619                  1.1818815689988481E-002                 -2.7037438646188803E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6682932279885501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6682932279885501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086592030165313E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086592030165313E+000                 -8.0086592030165313E+000                 -2.3571794580051797E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929054038630245E+000                  1.7138370726550998E+000                  9.9376088946599817E-001                  2.9276671030907990E+000                  0.0000000000000000E+000                  1.2954156804605965E+001                 -1.5476806363277875E+000                  6.3725246460337077E+000                  6.2128584275284504E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      35                                      619                  2.9483411457712130E-002                 -2.3078376343807561E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6989195700420668E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.6989195700420668E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086588471004525E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086588471004525E+000                 -8.0086588471004525E+000                 -2.3571793404835539E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929053999145163E+000                  1.7138369900861972E+000                  9.9376085607856346E-001                  2.9276671698656682E+000                  0.0000000000000000E+000                  1.2954156932108811E+001                 -1.5476805398315840E+000                  6.3725246770590998E+000                  6.2128584273409082E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
                                      40                                      619                  7.3438578398454232E-002                 -1.9119314041426323E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.7122099763262153E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998732649953E-001                  1.7122099763262153E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.0086579614320499E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.0086579614320499E+000                 -8.0086579614320499E+000                 -2.3571790480052648E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6929054056269153E+000                  1.7138368511009099E+000                  9.9376077516112216E-001                  2.9276673317005510E+000                  0.0000000000000000E+000                  1.2954157249378824E+001                 -1.5476802997168855E+000                  6.3725247542610584E+000                  6.2128584268742348E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861245E-003                  9.3805276451495410E-003                  3.4468833607861566E-003                  9.3805276451495445E-003                  2.1000000000000005E+000                  8.3991060709424714E-001                                        0                                        2 
