                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260122"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      573                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455658E-001                  8.7748777679959186E-002                  9.9999955260677265E-001                  8.6675751645710652E-001                  7.8382326649455658E-001                  8.7748777679959186E-002                  9.9999955260677265E-001                  8.6675751645710652E-001                 -2.0094296669879913E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094296669879913E+001                 -2.0094296669879913E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6384574841995181E+000                  1.1341063321320337E+000                  8.1279135853147755E-001                  2.1690843459651488E+000                  0.0000000000000000E+000                  1.1637283159261361E+001                 -1.9732058232797622E+000                  5.4774336869492384E+000                  5.9419034496509437E-001                  8.7983926070710716E-001                  1.2199081603557349E+000                  7.5967000000000007E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        2 
                                       5                                      573                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455658E-001                  8.7748777675386525E-002                  9.9999955260677265E-001                  8.6675751645707300E-001                  7.8382326649455658E-001                  8.7748777675386525E-002                  9.9999955260677265E-001                  8.6675751645707300E-001                 -2.0094296572476342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094296572476342E+001                 -2.0094296572476342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6384143917695293E+000                  1.1339167439940956E+000                  8.1278274932248606E-001                  2.1691015643831317E+000                  0.0000000000000000E+000                  1.1637283185777818E+001                 -1.9732058073702388E+000                  5.4774336972658091E+000                  5.9419034487065048E-001                  8.7983926070710716E-001                  1.2199081603557349E+000                  7.5967000000000007E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        2 
                                      10                                      573                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455658E-001                  8.7748777668767000E-002                  9.9999955260677265E-001                  8.6675751645697785E-001                  7.8382326649455658E-001                  8.7748777668767000E-002                  9.9999955260677265E-001                  8.6675751645697785E-001                 -2.0094296274130244E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094296274130244E+001                 -2.0094296274130244E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6382944323107549E+000                  1.1333892099058844E+000                  8.1275890119592964E-001                  2.1691492606362446E+000                  0.0000000000000000E+000                  1.1637283255751131E+001                 -1.9732057653872341E+000                  5.4774337244898756E+000                  5.9419034462142450E-001                  8.7983926070710738E-001                  1.2199081603557351E+000                  7.5967000000000018E-001                  2.4019443575735708E-001                  1.8957858484314102E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        2 
                                      15                                      573                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455658E-001                  8.7748777661394314E-002                  9.9999955260677265E-001                  8.6675751645673860E-001                  7.8382326649455658E-001                  8.7748777661394314E-002                  9.9999955260677265E-001                  8.6675751645673860E-001                 -2.0094295473430954E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094295473430954E+001                 -2.0094295473430954E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6380209188037154E+000                  1.1321876347371416E+000                  8.1270514062563626E-001                  2.1692567817768311E+000                  0.0000000000000000E+000                  1.1637283414153417E+001                 -1.9732056703481702E+000                  5.4774337861185121E+000                  5.9419034405723803E-001                  8.7983926070710716E-001                  1.2199081603557349E+000                  7.5967000000000007E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        2 
                                      20                                      571                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455680E-001                  8.1853048349414176E-002                  9.9999950904664248E-001                  8.6675751645613297E-001                  7.8382326649455680E-001                  8.1853048349414176E-002                  9.9999950904664248E-001                  8.6675751645613297E-001                 -2.0094293378715442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094293378715442E+001                 -2.0094293378715442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6374955975447421E+000                  1.1298773442368735E+000                  8.1260063789344950E-001                  2.1694657872412049E+000                  0.0000000000000000E+000                  1.1637283772498337E+001                 -1.9732054553466112E+000                  5.4774339255378059E+000                  5.9419034278090721E-001                  8.7983926070710738E-001                  1.2199081603557351E+000                  7.5967000000000018E-001                  2.4019443575735708E-001                  1.8957858484314102E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        5 
                                      25                                      569                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8382326649455680E-001                  8.1852868734664866E-002                  9.9999950904664248E-001                  8.5939740637801787E-001                  7.8382326649455680E-001                  8.1852868734664866E-002                  9.9999950904664248E-001                  8.5939740637801787E-001                 -2.0094287816667805E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094287816667805E+001                 -2.0094287816667805E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6368409072541659E+000                  1.1269573029469724E+000                  8.1244999782965177E-001                  2.1697670673688001E+000                  0.0000000000000000E+000                  1.1637284657632414E+001                 -1.9732049242795555E+000                  5.4774342699121474E+000                  5.9419033962829437E-001                  8.7983926070710716E-001                  1.2199081603557349E+000                  7.5967000000000007E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        0                                        6 
                                      30                                      568                  7.1619539782916122E-003                 -3.4641663480420921E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.9189983341333692E-001                  7.6039069117819075E-002                  9.9999950904664248E-001                  8.4768519081979876E-001                  7.9189983341333692E-001                  7.6039069117819075E-002                  9.9999950904664248E-001                  8.4768519081979876E-001                 -2.0094283698787230E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094283698787230E+001                 -2.0094283698787230E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6365485235274035E+000                  1.1256394377520127E+000                  8.1237583268569624E-001                  2.1699153976567112E+000                  0.0000000000000000E+000                  1.1637285325445704E+001                 -1.9732045236021409E+000                  5.4774345297350937E+000                  5.9419033724971726E-001                  8.7983926070710738E-001                  1.2199081603557351E+000                  7.5967000000000018E-001                  2.4019443575735708E-001                  1.8957858484314102E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        2                                        3 
                                      35                                      568                  1.0228724076854746E-002                 -3.0682601178039683E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.9713979035705140E-001                  7.6039067890267917E-002                  9.9999950904664248E-001                  8.4359521001203408E-001                  7.9713979035705140E-001                  7.6039067890267917E-002                  9.9999950904664248E-001                  8.4359521001203408E-001                 -2.0094278776517218E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094278776517218E+001                 -2.0094278776517218E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6363425109106760E+000                  1.1246983636140888E+000                  8.1231732085018948E-001                  2.1700324213277247E+000                  0.0000000000000000E+000                  1.1637286137542228E+001                 -1.9732040363572099E+000                  5.4774348456937645E+000                  5.9419033435724400E-001                  8.7983926070710716E-001                  1.2199081603557349E+000                  7.5967000000000007E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        2                                        5 
                                      40                                      568                  1.3493806788012919E-002                 -3.0525651292774501E+000                  2.2730000000000000E-001                  3.2655105346085641E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.0226631265932624E-001                  7.0314609740490530E-002                  9.9999950904664248E-001                  8.3940944337393342E-001                  8.0226631265932624E-001                  7.0314609740490530E-002                  9.9999950904664248E-001                  8.3940944337393342E-001                 -2.0094273798942140E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0094273798942140E+001                 -2.0094273798942140E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6362154533838558E+000                  1.1241105530107698E+000                  8.1227753060217067E-001                  2.1701120018237625E+000                  0.0000000000000000E+000                  1.1637286976330062E+001                 -1.9732035330980684E+000                  5.4774351720372527E+000                  5.9419033136970623E-001                  8.7983926070710738E-001                  1.2199081603557351E+000                  7.5967000000000018E-001                  2.4019443575735708E-001                  1.8957858484314102E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.7267299099999994E-001                  5.4596195247647264E-002                                        3                                        5 
