                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20251113"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      700                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3264832146219699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3264832146219699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670380559440E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.2221670380559440E+000                 -5.2221670380698448E+000                 -1.5716907872779641E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524541876877756E+000                  1.5394584608538239E-001                  2.9471770853163698E-001                  3.8486322102398591E+000                  0.0000000000000000E+000                  1.4777776351883436E+001                  5.7595078371486315E-002                  6.5894337268306327E+000                  6.1227629772763492E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                       5                                      700                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670380050753E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2221670380050762E+000                 -5.2221670380189762E+000                 -1.5716907872619805E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524543580268252E+000                  1.5394652660814198E-001                  2.9471770811491793E-001                  3.8486322110732973E+000                  0.0000000000000000E+000                  1.4777776351904690E+001                  5.7595078388099567E-002                  6.5894337268352761E+000                  6.1227629772763326E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      10                                      700                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670378497027E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.2221670378497027E+000                 -5.2221670378636036E+000                 -1.5716907872126978E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524540884453449E+000                  1.5394544580274525E-001                  2.9471770687518012E-001                  3.8486322135527726E+000                  0.0000000000000000E+000                  1.4777776351968647E+001                  5.7595078437529611E-002                  6.5894337268497862E+000                  6.1227629772762726E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      15                                      700                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670374524480E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2221670374524480E+000                 -5.2221670374663489E+000                 -1.5716907870862135E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524540050254006E+000                  1.5394511107669467E-001                  2.9471770635204247E-001                  3.8486322145990481E+000                  0.0000000000000000E+000                  1.4777776352131077E+001                  5.7595078562477788E-002                  6.5894337268872336E+000                  6.1227629772761227E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      20                                      700                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.6661535166579875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670364546284E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2221670364546284E+000                 -5.2221670364685293E+000                 -1.5716907867681938E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524539922826160E+000                  1.5394505983991724E-001                  2.9471770621922300E-001                  3.8486322148646872E+000                  0.0000000000000000E+000                  1.4777776352538197E+001                  5.7595078875145859E-002                  6.5894337269815910E+000                  6.1227629772757397E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      25                                      700                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3870164353317437E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3870164353317437E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670339609156E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2221670339609156E+000                 -5.2221670339748165E+000                 -1.5716907859733592E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524539951767787E+000                  1.5394507107922845E-001                  2.9471770605055359E-001                  3.8486322152020258E+000                  0.0000000000000000E+000                  1.4777776353554703E+001                  5.7595079655209033E-002                  6.5894337272177816E+000                  6.1227629772747871E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      30                                      700                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3373384396436204E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3373384396436204E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670277455621E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2221670277455621E+000                 -5.2221670277594630E+000                 -1.5716907839928087E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524539964795921E+000                  1.5394507510331931E-001                  2.9471770545697223E-001                  3.8486322163891886E+000                  0.0000000000000000E+000                  1.4777776356087490E+001                  5.7595081598273139E-002                  6.5894337278068678E+000                  6.1227629772724068E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999986E-001                  2.6797147940625943E-001                                        0                                        2 
                                      35                                      700                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3289468298028367E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3289468298028367E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221670122696029E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2221670122696029E+000                 -5.2221670122835038E+000                 -1.5716907790623846E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524539965875222E+000                  1.5394507237874228E-001                  2.9471770387882334E-001                  3.8486322195454865E+000                  0.0000000000000000E+000                  1.4777776362393348E+001                  5.7595086435320887E-002                  6.5894337292741048E+000                  6.1227629772664804E-001                  8.5900475343228977E-001                  1.2724973475622736E+000                  7.1799999999999986E-001                  2.6797147940625959E-001                  2.4128183525503081E-003                  6.5663693516046775E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999975E-001                  2.6797147940625943E-001                                        0                                        2 
                                      40                                      700                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3271312976616290E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999901399994E-001                  2.3271312976616290E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2221669737509373E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2221669737509373E+000                 -5.2221669737648382E+000                 -1.5716907667919209E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6524539962786204E+000                  1.5394506322714210E-001                  2.9471769992082686E-001                  3.8486322274614793E+000                  0.0000000000000000E+000                  1.4777776378088060E+001                  5.7595098473637953E-002                  6.5894337329265502E+000                  6.1227629772517200E-001                  8.5900475343228977E-001                  1.2724973475622734E+000                  7.1799999999999986E-001                  2.6797147940625959E-001                  2.4128183525503081E-003                  6.5663693516046775E-003                  2.4128183525503068E-003                  6.5663693516046819E-003                  7.1799999999999975E-001                  2.6797147940625943E-001                                        0                                        2 
